Agent Name,Agent Type,Sectors,Aliases
Academics,Group,Education,Schools || School || Academics || Research Institution || University || College || Science Congress || Educational Institution
Action Party,Group,Parties,Action Party
Administration,Group,Government,Minist Of Government || Minist For Government || Minist Of The Presidency || Deputy Prime Minister || Minist For The Presidency || Minist Of Presidential Affairs || Federal Chancellery || Presidential Palace || Minist For Presidential Affairs || Government || Peoples' Republic Of || Junta Chief || Peoples Republic Of || Dictator || Ruling 
Administrative Body,Group,Government,Administrative Body || Administrative Official || Advisory Board || Administrative Unit
Adoption Group,Group,Nongovernmental Organizations / Activists || Nongovernmental Organization (International),Adoption Group
Agrarian Party,Group,Parties,Agrarian Party || Peoples Agrarian Party || People'S Agrarian Party || Peoples' Agrarian Party
Agriculture and Irrigation Department/Ministry,Group,Agriculture / Fishing / Forestry Ministry,"Minist For Irrigation || Minist Of Irrigation || Department Of Agriculture || Agriculture And Irrigation Minist || Minist For Agriculture, Fisheries And Food || Minist For Agriculture || Irrigation Minist || Minist Of Agriculture || Agriculture Minist || Agriculture Secretary || Dept Of Agriculture || Secretary Of Agriculture || Minist Of "
Air Force,Group,Air Force,Air Force || Combat Planes
Airline,Group,Business,Airline
Alleged Militants,Group,Rebel,Alleged Militants
Alliance Party,Group,Parties,Alliance Party || Peoples Alliance Party || Peoples' Alliance Party || People'S Alliance Party
Anglican,Group,National Religious || Protestant,Anglican
Anti Government Armed Group,Group,Rebel,Anti Government Armed Group || Anti Government Force
Anti Government Organization,Group,Protestors / Popular Opposition / Mobs,Anti Government Organisation || Anti Government Organization
Anti Government Underground Group,Group,Dissident,Anti Government Underground Group
Anti Graft Commission,Group,Government,Anti Graft Commission
Anti Graft Court,Group,Judicial,Anti Graft Court
Anti Junta Terrorist Group,Group,Rebel,Anti Junta Terrorist Group
Anti Terror Court,Group,Judicial,Anti Terrorism Court || Anti Terror Court
Appeals Court,Group,Judicial,Appeals Court || Court Of Appeals
Archdiocese,Group,National Religious || Christian,Diocese || Archdiocese
Arm's Industry,Group,Business,Arm'S Industry
Armed Band,Group,Unidentified Forces,Armed Men || Armed Band || Armed Group || Armed Citizen
Armed Force,Group,Unidentified Forces,Armed Force || Armed Troop || Armed Patrol
Armed Gang,Group,Unidentified Forces,Mercenaries || Gunmen || Mercenary || Gunman || Marauder || Gang Member || Armed Gang
Armed Insurgent Group,Group,Rebel,Armed Insurgency || Armed Insurgent Group
Armed Opposition,Group,Rebel,Armed Opposition Group || Armed Dissident || Unidentified Gunmen || Dissident Soldier
Army Intelligence,Group,Military Intelligence,Army Intelligence
Army Medical Squad,Group,Army,Army Medical Squad
Army National Guard,Group,Military,National Guard || Army National Guard
Army Personnel,Group,Military,Army Vice Chief Of Staff || Army Staff || Commander In Chief Of The Army || Army Officer || Chief Of The Army || Army Chief
Assemblies,Group,Legislative / Parliamentary,People'S Assembly || National Assembly || State Assembly || Assemblies || Assembly Federale || Peoples Assembly || Peoples' Assembly
Assembly of the Union,Group,Government,Assembly Of The Union
Atomic Energy Committee,Group,Energy Ministry,Nuclear Energy Committee || Department Of Atomic || Atomic Energy Committee
Banda,Group,National Ethnic Minority || Banda,Banda People || Banda
Bank,Group,Business,Commercial Bank || Credit Union || Savings And Loan || Leading Bank || Private Bank || Banks || Bank
Boat People,Group,Refugees / Displaced,Boat People
Border Patrol,Group,Police,Border Patrol Agent || Armed Border Patrol || Border Patrol Unit || Border Patrol Police || Border Patrol
Border Trade Department,Group,Finance / Economy / Commerce / Trade Ministry,Border Trade Department || Department Of Border Trade
Brahmin,Group,Hindu || National Religious,Brahmin
Broadcast Ministry,Group,Information / Communication / Transparency Ministry,Broadcast Minist
Buddhist Missionaries,Group,Buddhist || National Religious,Buddhist Missionaries || Buddhist Missionary
Buddhist Monastary,Group,Buddhist || National Religious,Buddhist Monastary
Bureau of Special Investigation,Group,Police,Bureau Of Special Investigation
Bureau of Special Operations,Group,Military,Bureau Of Special Operations
Business,Group,Business,Tourism Industry || Gas Corp || Aerospace || Business || Oil Group || Furniture Maker || Computer Maker || Oil Corp || Chamber Of Commerce || Automaker || Tourism Office || Producer || Company || Chamber Of Commerce And Industry || Electronics Maker || Merchant || Companies || Corporation || Car Manufacturer || Co. || Carmaker || Manufactu
Cabinet / Council of Ministers / Advisors,Group,Cabinet,Privy Council || Secretary Of State || Chief Minister || State Secretary || Council Of Ministers || Throne Council || Council Of State || Cabinet Of Ministers || Council Of Ministers || Chairman Of The Council Of Ministers || Cabinet || Cabinet Minister || State Minist || A Cabinet Meeting || Royal Advisory
Catholic Missionaries,Group,Catholic || National Religious,Catholic Missionary || Catholic Missionaries
Catholic Monastary,Group,Catholic || National Religious,Catholic Monastary
Center for Human Rights,Group,Human Rights IGOs || Human Rights NGOs,Centre For Human Rights || Center For Human Rights
Central Bank,Group,Finance / Economy / Commerce / Trade Ministry || State-Owned Consulting / Financial Services,Department Of Bank Control || Bank Control Department || People'S Bank || Reserve Bank Governor || Central Bank Governor || Peoples Bank
Centre Party,Group,Parties,Centre Party || Center Party
Chief's Office,Group,Military,Chief'S Office
Children,Group,General Population / Civilian / Social,Youth || Teenager || Teen || Boy || Child || Girl || Children
Christian Clergy,Group,Catholic || National Religious,Christian Clergy
Christian Democratic Party,Group,Parties || Christian,Christian Democratic Union || Christian Democratic Movement || Christian Democrats || Christian Democratic Party
Christian Missionaries,Group,National Religious || Christian,Christian Missionary || Christian Missionaries
Christian Monastary,Group,National Religious || Christian,Christian Monastary
Christian Party,Group,Parties || Christian,Christian Party
Christian People's Party,Group,Parties || Christian,Christian People'S Party || Christian Peoples Party || Christian Peoples' Party
Christian Rebel,Group,Rebel || Christian,Christian Rebel || Christian Rebel Group
Civic Democratic Party,Group,Parties,Civic Democratic Party
Civic Group,Group,Nongovernmental Organizations / Activists || Nongovernmental Organization (International),Civil Society || Civic Group
Civic Party,Group,Parties,Civic Party
Civil Authority,Group,Government,Civil Authority || Civil Government
Civil Aviation Department,Group,Transportation Ministry,Department Of Civil Aviation || Civil Aviation Officers || Director General Of Civil Aviation || Minist Of Civil Aviation || Civil Aviation Staff || Civil Aviation Director General || Civil Aviation Department
Civil Service,Group,Government,Minist For The Civil Service || Civil Service
Clergy,Group,National Religious,Clergymen || Clergyman || Clergy
Coalition of Minority Parties,Group,Opposition Major Party (Out Of Government),Coalition Of Minority Parties
Coalition of Opposition Parties,Group,Opposition Major Party (Out Of Government),Coalition Of Opposition Parties
Coalition of Ruling Parties,Group,Government Major Party (In Government),Coalition Of Ruling Parties
Colorado Party,Group,Parties,Colorado Party
Commerce Department/Ministry,Group,Finance / Economy / Commerce / Trade Ministry,Minist For International Trade || Minist For Trade || Commerce Secretary || Trade And Commerce Minist || Commerce Minist || Minist Of Commerce || Minist For Commerce || Secretary Of Commerce || Minist Of Trade || Minist For Domestic Trade || Minist Of Domestic Trade || Trade Minist || Minist Of International Trade || Commerce Department ||
Committee of State,Group,Government,Committee Of State
Communications Bureau,Group,Information / Communication / Transparency Ministry,Communications Bureau
Communist League,Group,Communist || Parties,Communist League
Communist Party,Group,Communist || Parties,Communist Party || Peoples Communist Party || Peoples' Communist Party || People'S Communist Party
Company - Owner or Operator,Group,Business,Trader || Tycoon || Steel Tycoon || Shop Owner || Owners Of Private Companies || Enterpreneur || Company Owner || Ceos || Landlord || Investor || Entrepreneur || Ceo || Shop Owner || Store Owner || Business Owner
Congress,Group,Legislative / Parliamentary,Congress
Conservative Coalition,Group,Legislative / Parliamentary,Conservative Coalition
Conservative Party,Group,Parties,Conservative Party
Conservative People's Party,Group,Parties,Conservative People'S Party || Conservative Peoples Party || Conservative Peoples' Party
Constituent Assembly,Group,Government,Constituent Assembly
Constitutional Court,Group,Judicial,Constitutional Court || Constitutional Council
Constitutional Democratic Party,Group,Parties,Constitutional Democratic Party
Consul General Office,Group,Government,Consul General Office || Consulate General Office
Consultative Assembly,Group,Government,Consultative Council || Consultative Assembly
Control Forces,Group,Military,Control Forces
Cooperation Ministry,Group,Women / Children / Social / Welfare / Development / Religion Ministry,Cooperation Minist
Court Judge,Group,Judicial,Judge || Court Official || Court Justice || Judges || Court Judge
Daily Star,Group,Media,Daily Star || The Daily Star
Dalit,Group,Hindu || National Religious,Dalit
Death Squad,Group,Unidentified Forces,Death Squad
Defense Department/Ministry,Group,Defense / Security Ministry,Minist For National Defence || Department Of Civil Defense || Defense Minist || Secretary Of Defense || Minist Of Defense || Department Of Defense || Civil Defense Department || Minist For Defense || Defence Minist || Civil Defense Minist || Chief Of Defence Staff || Minist For Civil || Defence Secretary || Civil Defense Secretary || Minis
Defense Industry,Group,Business,Defense Contractor || Defence Industr || Defense Contrator || Defense Industr
Defense Services Intelligence,Group,Military Intelligence,Defense Services Intelligence || Defence Services Intelligence
Democracy Activist,Group,Protestors / Popular Opposition / Mobs,Democracy Activist
Democratic Alliance,Group,Parties,Democratic Alliance
Democratic Labor Party,Group,Parties,Democratic Labour Party || Democratic Labor Party
Democratic Party,Group,Parties,Democratic Party
Democratic People's Party,Group,Parties,Democratic People'S Party || Democratic Peoples Party || Democratic Peoples' Party
Department for Protocol,Group,Government,Protocol Department || Department For Protocol || Department Of Protocol
Department of Geologic Survey and its Mineral Exploration,Group,Government,Department Of Geologic Survey And Its Mineral Exploration || Meteorological Department || Geologic Survey And Its Mineral Exploration Department
Development Council,Group,Women / Children / Social / Welfare / Development / Religion Ministry,State Development Council || Development Council || National Development Council
Diplomatic Building,Group,Government,Diplomatic Building In N || Diplomatic Building In S || Diplomatic Building In Y || Diplomatic Building In T || Diplomatic Building In X || Diplomatic Building In Q || Diplomatic Building In M || Diplomatic Building In H || Diplomatic Building In G || Diplomatic Building In W || Diplomatic Building In C || Diplomatic Building In F || Diplo
Director of Defence Services Intelligence,Group,Defense / Security Ministry,Director Of Defence Services Intelligence
Director of Defence Services Intelligence,Group,Intelligence Ministry,Director Of Defence Services Intelligence
Displaced Families,Group,Refugees / Displaced,Displaced People || Displaced Residents || Displaced Familiy || Displaced Families || Displaced Persons || Stateless Person
Domestic Affairs,Group,Interior / Home Ministry,"Minist Of Lands, Housing And Urban Development || Minist For Home || Immigration Minist || Minist For Lands || Minist Of The Interior || Minist Of Cities || Minist For The Interior || Minist Of Home Affairs || Interior Minist || Minist Of Interior || Minist Of Territorial Administration || Home Affairs Minist || Minist For Internal Affairs"
Drug Enforcement,Group,Drugs Ministry,Drug Enforcement || Counter Drugs Expert || Anti Drug Agent || Narcotics Officer || Counter Drug Expert || Counter Narcotics Officer || Anti-Drug Agent
Drug Enforcement,Group,Drugs Ministry,Minist Of Counter Narcotics || Central Committee For Drug Abuse Control || Committee For Drug Abuse Control || Local Drug Controlling Authorities
Drug Gang,Group,Criminals / Gangs,Drug Lords || Drug Kingpin || Drug Mules || Drug Mule || Drug Kingpins || Crime Syndicate || Narco-Traffickers || Drug Runner || Drug Lord || Narco Trafficker || Drug Gang || Drug Gangs || Crime Syndicates || Cartel || Narco Traffickers || Cartels || Drug Runners || Narco-Trafficker || Drug Syndicate || Drug Peddler
Drug Trafficking Terrorists,Group,Criminals / Gangs,Drug Trafficking Terrorists
Dzongda,Group,Government,Dzongda
Education Department/Ministry,Group,Education Ministry,Minist Of Education || Education Secretary || Higher Education Minist || Education Department || Minist For Education And Science || Minist For National Education || Minist Of National Education || Minist For Higher Education || Education Minist || Minist Of Higher Education || Minist For Education || Department Of Education || Education B
Elected Bodies,Group,Legislative / Parliamentary,Elected Bod
Election Commission,Group,Elections Ministry,Chief Of Election Commission || Election Commission || Election Commission Member || National Electoral Commission || Central Election Commission || Central Election Committee || Electoral Commission || Commission On Elections
Electoral Alliance,Group,Parties,Electoral Alliance
Energy Corp,Group,Business,Energy Corp || Energy Corporation
Energy Department/Ministry,Group,Energy Ministry,Minist For Oil || Minist Of Public Utilities || Secretary Of Energy || Minist For Public Utilities || Minist For Communications Energy And Natural Resources || Minist For Electricity || Minist Of Petroleum || Energy Secretary || Energy Minist || Minist Of Energy || Minist Of Oil || Minist For Energy || Minist Of Oil And Energy || Minist Fo
Environment Department/Ministry,Group,Environment Ministry,Minist For Natural Resources And Environment || Minist For Environment || Environment Minist || Minist Of Environment || Minist For Mineral Resources || Minist For Natural Resources || Minist For Hydrocarbons || Minist Of The Environment || Minist Of Natural Resources || Minist Of Hydrocarbons || Minist For The Environment || Minist Of Min
Episcopal,Group,National Religious || Protestant,Episcopal
Equality Party,Group,Parties,Equality Party
Ethnic Group,Group,General Population / Civilian / Social,Ethnic Minority Races || Ethnic Group || Minorities
Ethnic Insurgency,Group,International Ethnic || Rebel,Ethnic Insurgency
Ethnic Minority Parties,Group,Parties,Ethnic Minority Parties
Ethnic Separatists,Group,Separatists,Ethnic Separatists
Ethnic Tamil,Group,General Population / Civilian / Social || Tamil,Ethnic Tamil
Exiled Government,Group,Exiles,Government In Exile || Exiled Government || Exiled Regime
Exiled Opposition,Group,Exiles,Exiled Politician || Exiled Opposition Politician || Exiled Opposition || Political Party In Exile
Exiles,Group,Exiles,Exiles
Fatherland Party,Group,Parties,Fatherland Party
Fatherland Union,Group,Parties,Fatherland Union
Fire Brigade,Group,Government,Fire Service || Fire Department || Fire Fighter || Fire Brigade || Fire Brigade Official || Fire Marshall || Fire Chief || Fireman || Fire Company || Firefighter || Fire Warden
Fishermen,Group,Agricultural,Fisherm
"Food, Water, and Disaster Relief",Group,Government || Disaster Ministry || Food Ministry || Water Ministry,Food And Disaster Management Minist || Disaster Management And Relief Minist || Minist Of Food || Minist For Disaster Management || Water Resources Minist || Water Minist || Water Resources And Flood Control Minist || Disaster Management Minist || Minist Of Disaster Management || Minist For Food || Water And Flood Control Minist || Minist 
Foreign Affairs,Group,Foreign Ministry,Ambassador At || Ambassador To E || Consul General || Embassy In N || Minist For Regional Development || Consulate || Ambassador To N || Embassy In O || Embassy In B || Minist For Foreign || Ambassador For R || Embassy In T || Embassy In U || Ambassador To H || Ambassador For I || Foreign Embassy || Ambassador For Q || Ambassador For The U
Free Democratic Party,Group,Parties,Free Democratic Party
Free Party,Group,Parties,Free Party
Free-thinking Democratic Party,Group,Parties,Free-Thinking Democratic Party
Free-thinking Party,Group,Parties,Free-Thinking Party
Freedom Party,Group,Parties,Freedom Party || Peoples' Freedom Party || People'S Freedom Party || Peoples Freedom Party
Freethinking Democratic League,Group,Parties,Freethinking Democratic League
Freethinking Democratic Party,Group,Parties,Freethinking Democratic Party
Gendermarie,Group,Military,Gendarmerie Nationale || National Gendarmerie || Gendermarie
General for Law and Order,Group,Government,State Council For Law And Order || General For Law And Order
Governing Party,Group,Government Major Party (In Government),Governing Party
Government Affiliated Bank,Group,Finance / Economy / Commerce / Trade Ministry,Central Bank || Reserve Bank || National Bank || Securities And Exchange Commission
Government Commission,Group,Government,Government Commission || Government Organization || Government Organisation
Government Delegation,Group,Government,Government Delegation
Government Forces,Group,Military,Government Forces || Government Soldier || Government Troops
Government Troops and Police,Group,Military,Government Troops And Police
Green Party,Group,Parties,Greens || Green Alliance || The Greens || Green Party
Guale,Group,National Ethnic,Guale
Guerilla Faction,Group,Rebel,Guerilla Force || Guerrilla Force || Guerilla Faction || Guerilla Army || Guerrilla Army || Guerilla
Health Ministry/Department,Group,Health Ministry,Minist For Public Health And Social Welfare || Minist For Health || National Health Committee || Minist Of Welfare || Health Personnel || Public Health Chief || Minist For Social Welfare || Minist For Welfare || National Nutritional Council || Minist Of Social Welfare || Minist Of Public Health || Minist Of Health || Minist For Public Heal
Healthcare Facility,Group,Medical / Health,Sanitarium || Sanatorium || Mental Institution || Healthcare Facility || Medical Building || Hospital || Sanatarium || Medical Facility || Infirmary || Health Facility || Medical Institution
High Commission,Group,Government,High Commission || Office Of The High Commission
High Ranking Military Personnel,Group,Military,Gen. || Commanding General || Brig. General || Brig. Gen. || Lieutenant General || Generals || Field Marshal || Major General || Brigadier General || General Of The Army
Hindu Clergy,Group,Hindu || National Religious,Hindu Clergyman || Hindu Clergymen || Hindu Clergy
Hindu Missionaries,Group,Hindu || National Religious,Hindu Missionaries || Hindu Missionary
Hindu Monastary,Group,Hindu || National Religious,Hindu Monastary
Hindu Rebel,Group,Hindu || Rebel,Hindu Rebel Group || Hindu Rebel
Hizb ut-Tahrir,Group,Parties,Hizb Ut-Tahrir
Hmong,Group,National Ethnic,Hmong
Holding Company,Group,Business,Holding Company
Honorary Consul,Group,Elite,Honorary Consul
House of Councillors,Group,Legislative / Parliamentary,House Of Councillors
House of Representatives,Group,Legislative / Parliamentary,House Of Representative || Lower House
Human Rights Commission,Group,Human Rights Ministry,Human Rights Commission
Human Rights Group,Group,Human Rights IGOs || Human Rights NGOs,Human Rights Group
Illegal Movement,Group,Banned Parties,Illegal Movement
Illegal Parties,Group,Banned Parties,Illegal Party || Illegal Parties || Outlawed Party || Banned Party || Outlawed Parties || Banned Parties
Immigrants,Group,General Population / Civilian / Social,Immigrant || Non Native || Migrant Worker || Non Resident || Migrant
Independence Party,Group,Parties,Independence Party
Independent Electoral Commission,Group,Government,Independent Electoral Commission
Indigenous People,Group,General Population / Civilian / Social,Community || Nationals || Native People || Indigenous People || Natives || Ethnic Minority
Indigenous Refugees,Group,Refugees / Displaced,Indigenous Refugees
Industries Ministry,Group,Industrial / Textiles / Mining Ministry,Minist Of Industry And Trade || Minist For Production || Minist Of Production || Industry Minist || Industries Minist || Minist For Industry || Minist Of Industry
Industry,Group,Business,Industry
Infiltration Unit,Group,Unidentified Forces,Infiltration Unit
Information and Culture Ministry,Group,Information / Communication / Transparency Ministry,Minist Of Communication And Culture || Information And Culture Minist || Minist For Communication And Culture
Information Ministry,Group,Information / Communication / Transparency Ministry,Information Office || Minist For Information || Minist Of Information || Information Committee || Information Minis
Insurgency,Group,Rebel,Insurgent Force || Insurgent Movement || Low Level Insurgency || Insurgent Organization || Insurgent Group || Insurgency || Insurgency Movement || Insurgent Organisation || Insurrectionist || Insrurgence
Intelligence,Group,Intelligence Ministry,Intelligence Community || Intelligence Apparatus || Intelligence Service || National Security Service || Intelligence
Inter Service Intelligence,Group,Intelligence Ministry,Inter Service Intelligence
Interim Government,Group,Government,Caretaker Government || Interim Government || Neutral Caretaker Government || Caretaker Administration
International Communist League,Group,Communist || Parties,International Communist League
Investigative Commission,Group,Government,Investigative Commission
Investment Commission,Group,Finance / Economy / Commerce / Trade Ministry,Foreign Investment Commission || Investment Commission
Islamic,Group,National Religious || Muslim,Islamic
Islamic Council,Group,National Religious || Muslim,Islamic Council
Islamic Extremist Group,Group,Rebel || Muslim,Muslim Radical || Muslim Extremist || Islamic Extremist Group || Radical Anti Us Cleric || Muslim Radical || Islamic Radical || Radical Anti-Us Cleric || Radical Islamic || Radical Islamist || Radical Muslim 
Islamic Missionaries,Group,National Religious || Muslim,Muslim Missionar || Muslim Missionary || Muslim Missionaries || Islamic Missionaries || Islamist Missionaries || Islamic Missionary || Islamist Missionary
Joint Chiefs of Staff,Group,Military,Joint Chiefs Of Staff
Junta Forces,Group,Military,Junta Troop || Junta Troops || Junta Forces || Junta Soldier
Justice Department/Ministery,Group,Judicial,Minist De Defensa Legal Del Estado || Justice Minister || Minist Of The Attorney General || Minist For Justice || Law Justice And Parlaimentary Affairs Minist || Minist Of Law || Minist For Law || Minist For The Attorney General || Minist Of Justice || State Council Secretary General For Law And Order || Minist Of Legal Defense Of The Stat
Jute and Textiles,Group,Industrial / Textiles / Mining Ministry,Minist Of Textiles || Textiles Minist || Jute And Textiles Minist || Minist Of Jute And Textiles || Minist For Textiles || Minist For Jute And Textiles
Kfir,Group,Military,Kfir
Khmer Loeu,Group,NULL,Khmer Loeu
Labor and Employment Ministry,Group,Labor Ministry,Labor Secretary || Minist Of Employment And Vocational Training || Labour Minist || Manpower Minist || Minist Of Labour || Labor And Employment Minist || Minist For Labour || Minist Of Labor || Minist For Employment And Vocational Training || Minist For Labor || Labor Minist || Minist For Social Affairs And Labor || Minist Of Social Affair
Labor Department,Group,Labor Ministry,Labor Department || Labour Department
Labor Party,Group,Labor || Parties,Labor Party || Peoples Labor Party || People'S Labor Party || People'S Labour Party || Labour Party || Peoples' Labor Party || Peoples' Labour Party || Peoples Labour Party
